year,week,country_iso2,inflow_mwh
2016,21,IE,21576.2333246668
2016,22,IE,20091.69747443284
2016,23,IE,20056.91270672282
2016,24,IE,21216.559742989328
2016,25,IE,20528.367194349445
2016,26,IE,20698.45264225001
2016,27,IE,19965.8219202305
2016,28,IE,19366.267347673263
2016,29,IE,19058.240853719857
2016,30,IE,18969.325296547344
2016,31,IE,18782.343370403505
2016,32,IE,18565.419941263033
2016,33,IE,18844.37641233214
2016,34,IE,19425.78816634751
2016,35,IE,18575.5591041426
2016,36,IE,19680.444828526168
2016,37,IE,19835.760557672013
2016,38,IE,20189.715141347704
2016,39,IE,20491.45844527408
2016,40,IE,20310.932039243442
2016,41,IE,20374.31315801658
2016,42,IE,22377.91348486516
2016,43,IE,20073.468048854815
2016,44,IE,19728.63680447463
2016,45,IE,20483.02269774823
2016,46,IE,20969.881268061432
2016,47,IE,21568.439056925312
2016,48,IE,20744.03488449222
2016,49,IE,20004.57742173254
2016,50,IE,21127.71581638394
2016,51,IE,21418.68395362391
2016,52,IE,21931.562296434127
2017,1,IE,22431.134147917157
2017,2,IE,22346.970043004658
2017,3,IE,21624.734352132273
2017,4,IE,20634.248066036605
2017,5,IE,21579.197165451278
2017,6,IE,22052.09185334124
2017,7,IE,21738.67323276352
2017,8,IE,21633.129522036757
2017,9,IE,24770.94524266063
2017,10,IE,30152.3634308054
2017,11,IE,29236.921129775405
2017,12,IE,29761.18855475243
2017,13,IE,27663.419157052776
2017,14,IE,23928.740615154285
2017,15,IE,21808.83880649247
2017,16,IE,20354.571983153597
2017,17,IE,19771.078220944823
2017,18,IE,19693.521990213772
2017,19,IE,19703.465664397885
2017,20,IE,20059.371904572818
2017,21,IE,19895.781590606435
2017,22,IE,20978.411530224817
2017,23,IE,21926.192881583516
2017,24,IE,21607.380672813546
2017,25,IE,19311.404534028592
2017,26,IE,19817.867929413598
2017,27,IE,19041.830574661413
2017,28,IE,18615.62289148782
2017,29,IE,18709.789452861733
2017,30,IE,18434.235680273872
2017,31,IE,18278.81121056588
2017,32,IE,18302.68098463399
2017,33,IE,19368.984824506
2017,34,IE,19251.577014950668
2017,35,IE,19726.152504538997
2017,36,IE,20566.723799349278
2017,37,IE,20609.498829992004
2017,38,IE,21363.117280695595
2017,39,IE,22332.005834559794
2017,40,IE,22812.192378563046
2017,41,IE,23951.33926413019
2017,42,IE,25054.735681452352
2017,43,IE,27654.947122536698
2017,44,IE,26629.117642302426
2017,45,IE,24477.23628858894
2017,46,IE,24634.849203577578
2017,47,IE,28901.771042635417
2017,48,IE,29869.799991276745
2017,49,IE,26799.49504634643
2017,50,IE,27366.65536878438
2017,51,IE,29313.48598547747
2017,52,IE,31960.185042758578
2017,53,IE,35189.91903630874
2018,1,IE,34195.48556222303
2018,2,IE,33043.89487315401
2018,3,IE,40636.04312178469
2018,4,IE,44666.909667626525
2018,5,IE,37614.89552385254
2018,6,IE,35119.57878975024
2018,7,IE,31864.19021011126
2018,8,IE,26932.601858622933
2018,9,IE,27031.834040349062
2018,10,IE,31847.4464344849
2018,11,IE,29536.686328159467
2018,12,IE,25779.162953959592
2018,13,IE,29276.663905064284
2018,14,IE,28668.18329596108
2018,15,IE,25606.788922351658
2018,16,IE,23630.995143149168
2018,17,IE,22058.64185033452
2018,18,IE,20629.693957104846
2018,19,IE,20169.601491730704
2018,20,IE,20066.88418160887
2018,21,IE,19943.913757502887
2018,22,IE,19860.961645460993
2018,23,IE,19745.58829120528
2018,24,IE,19667.84991989658
2018,25,IE,19414.04487117687
2018,26,IE,19054.437319552988
2018,27,IE,18601.81579934244
2018,28,IE,18236.144924322492
2018,29,IE,17987.99911318778
2018,30,IE,17868.529065548882
2018,31,IE,17622.640627706925
2018,32,IE,17568.557749364176
2018,33,IE,17589.991582565774
2018,34,IE,17963.116799711766
2018,35,IE,18098.401429692087
2018,36,IE,18004.44220626959
2018,37,IE,18080.992158124685
2018,38,IE,18102.61199512151
2018,39,IE,18180.317647590065
2018,40,IE,18353.601761077487
2018,41,IE,18903.881610536955
2018,42,IE,18681.525009801386
2018,43,IE,18610.783403275433
2018,44,IE,20438.921987432394
2018,45,IE,22151.68667760048
2018,46,IE,23161.735690354788
2018,47,IE,24519.075378590358
2018,48,IE,27810.684229675673
2018,49,IE,30634.07809201257
2018,50,IE,32179.7896261131
2018,51,IE,33666.22235493567
2018,52,IE,27768.63418465239
2019,1,IE,23150.494801744167
2019,2,IE,21025.643809436173
2019,3,IE,20584.768282279154
2019,4,IE,21488.444978605003
2019,5,IE,23453.904759859674
2019,6,IE,25567.036459201798
2019,7,IE,24463.61551087926
2019,8,IE,23205.18616385563
